Country,Code,Continent,Population,GDP per Capita,Gender Inequality Index
Afghanistan,AFG,Asia,40099460,1516.3057,0.678
Angola,AGO,Africa,34503776,5908.57,0.537
Albania,ALB,Europe,2854710,14518.906,0.144
United Arab Emirates,ARE,Asia,9365149,69733.8,0.049
Argentina,ARG,South America,45276788,21527.195,0.287
Armenia,ARM,Europe,2790971,14193.117,0.216
Australia,AUS,Oceania,25921094,49774.34,0.073
Austria,AUT,Europe,8922086,54121.145,0.053
Azerbaijan,AZE,Europe,10312992,14431.661,0.294
Burundi,BDI,Africa,12551215,705.0304,0.505
Belgium,BEL,Europe,11611416,51739.54,0.048
Benin,BEN,Africa,12996901,3321.5522,0.602
Burkina Faso,BFA,Africa,22100690,2179.789,0.621
Bangladesh,BGD,Asia,169356240,5911.013,0.53
Bulgaria,BGR,Europe,6885864,24398.13,0.21
Bahrain,BHR,Asia,1463266,49387.418,0.181
Bahamas,BHS,North America,407920,30210.162,0.329
Bosnia and Herzegovina,BIH,Europe,3270948,15666.54,0.136
Belarus,BLR,Europe,9578172,19751.203,0.104
Belize,BLZ,North America,400037,8762.623,0.364
Bolivia (Plurinational State of),BOL,South America,12079474,8052.1772,0.418
Brazil,BRA,South America,214326224,14592.353,0.39
Barbados,BRB,North America,281204,13754.803,0.268
Brunei Darussalam,BRN,Asia,445382,60127.023,0.259
Bhutan,BTN,Asia,777500,10907.856,0.415
Botswana,BWA,Africa,2588424,14840.913,0.468
Central African Republic,CAF,Africa,5457165,837.5047,0.672
Canada,CAN,North America,38155012,47892.945,0.069
Switzerland,CHE,Europe,8691409,71032.84,0.018
Chile,CHL,South America,19493184,25449.13,0.187
China,CHN,Asia,1425893504,17602.695,0.192
Côte d'Ivoire,CIV,Africa,27478250,5325.0303,0.613
Cameroon,CMR,Africa,27198632,3700.4644,0.565
"Congo, Democratic Republic of the",COD,Africa,95894120,1073.6433,0.601
Congo,COG,Africa,5835814,3234.393,0.564
Colombia,COL,South America,51516560,14648.592,0.424
Cabo Verde,CPV,Africa,587936,6114.1333,0.349
Costa Rica,CRI,North America,5153959,21199.281,0.256
Cyprus,CYP,Europe,1244193,41701.703,0.123
Czechia,CZE,Europe,10510748,40740.992,0.12
Germany,DEU,Europe,83408560,53179.656,0.073
Denmark,DNK,Europe,5854246,57962.652,0.013
Dominican Republic,DOM,North America,11117873,18626.078,0.429
Algeria,DZA,Africa,44177964,11039.806,0.499
Ecuador,ECU,South America,17797736,10668.758,0.362
Egypt,EGY,Africa,109262184,11566.05,0.443
Spain,ESP,Europe,47486932,37913.074,0.057
Estonia,EST,Europe,1328704,38717.695,0.1
Ethiopia,ETH,Africa,120283024,2319.0684,0.52
Finland,FIN,Europe,5535982,48753.355,0.033
Fiji,FJI,Oceania,924615,10359.204,0.318
